sampleID	x	y
83GR2N002	-90.43571006	36.11946049
83GR2N003	-90.60373527	36.20553018
83GR2N004	-90.60372443	36.20552095
83GR2N005	-90.54791828	35.97719271
83GR3N006	-92.38249092	34.22833342
83GR3N007	-92.37035574	34.38364748
83GR3N008	-92.35499078	34.43969615
83GR3N009	-92.41665672	34.32782869
83GR3N010	-92.32572443	34.3661129
83GR3N011	-92.43067309	34.28046737
83GR5N012	-92.43437246	34.35255869
83HE3N007	-93.68869928	33.77725524
83HE3N008	-93.6008615	33.6797755
83HE3N009	-93.80489993	33.86163581
83HE3N010	nan	nan
83HM2N001	-93.85710469	33.66529458
83HM2N002	-93.46954175	33.85279931
83HM2N003	-93.67678802	33.56121304
83HM2N004	-93.79109536	33.98343263
83HM2N005	-93.89546058	33.74751875
83HM2N006	-93.68970633	33.77758332
83HM4N007	nan	nan
83HM4N008	-93.4782965	33.65228773
83HO3N002	-93.85906095	33.97583417
83HO3N003	-93.82963484	33.92083301
83HO3N004	-93.85299735	33.88995578
83HO3N013	-94.01715569	34.14143141
83HO3N014	-94.01715569	34.14143141
83HO3U005	-93.9952404	34.0770133
83HO3U006	-93.99509513	33.88899823
83HO3U007	-94.06142991	34.06250816
83HO3U008	-94.03735495	33.93087422
83HO3U009	-94.07693462	33.93284311
83HO3U010	-93.98611577	34.17514214
83HO3U011	-94.00874459	34.1993342
83HO3U012	-93.96990994	34.19640087
83HO5N015	nan	nan
83HO5N016	nan	nan
83HO5N017	nan	nan
83HO5N018	nan	nan
83HO5N019	nan	nan
83HO5N020	nan	nan
83HS2N001	-92.89152768	34.25630065
83HS3N005	-93.18434853	34.34532143
83HS3U002	-93.36459982	34.39108209
83HS3U003	nan	nan
83HS3U004	nan	nan
83IN2N001	-91.5264837	35.76026477
83IN2N002	-91.65351629	35.78860228
83IN2N003	-91.75062077	35.88052695
83IN2N004	-91.42922833	35.68021322
83IN2N005	-91.54999289	35.91268328
83IN2N006	-91.49919191	35.93150449
83IN3N007	-91.63268307	35.73160566
83IN3N008	nan	nan
83IN4N010	-91.49029476	35.81222167
83IN4N011	-91.44874588	35.66688018
83IN4N012	-91.37602368	35.77120973
83IN4P009	-91.42694157	35.64527591
83IN5N013	-91.41716009	35.64114491
83IN5N014	-91.41954056	35.63018643
83IN5N015	-91.41959505	35.63022321
83IN5N016	-91.42853754	35.62750938
83IN5N017	-91.41834259	35.63774362
83IN5N018	-91.41887784	35.64308775
83IN5N019	-91.42853754	35.62750938
83IN5N020	-91.41834259	35.63774362
83IN5N021	-91.42557044	35.63015722
83IN5N022	-91.42799316	35.63331721
83IN5N023	-91.42187087	35.6397192
83IN5N024	-91.42187087	35.6397192
83IN5N025	-91.42121208	35.63896229
83IN5N026	-91.42121208	35.63896229
83IN5N027	-91.41375099	35.64152378
83IN5N028	-91.41052633	35.64262621
83IN5N029	-91.42699395	35.64767469
83IN5N030	-91.4212696	35.64109067
83IN5N031	-91.41360462	35.63998924
83IN5N032	-91.41691987	35.64156548
83IN5N033	-91.42699395	35.64767469
83IN5N034	-91.42618144	35.62940791
83IN5N035	-91.42851647	35.62520116
83IN5N036	-91.44406148	35.65720933
83IN5N037	-91.40514091	35.65463556
83IN5N038	-91.42200868	35.63945055
83IN5N039	-91.40511865	35.65464428
83IN5N040	-91.42847357	35.62626442
83IN5N041	-91.41987739	35.63944063
83IZ2N001	-92.32044891	36.28709112
83IZ2N002	-92.32044891	36.28709112
83IZ2N003	-91.84082092	36.07896776
83IZ3N004	-91.79569028	36.01098941
83IZ3N005	-92.18359386	36.15097796
83IZ3N006	-91.88233839	36.05905969
83IZ3N007	-92.1416647	36.13657563
83IZ3N008	-92.1317447	36.12300803
83IZ3N009	-92.13069884	36.12816629
83IZ4N010	-91.94717393	35.97443272
83IZ4N011	-92.12990006	36.12804329
83IZ5N012	-92.12671992	36.1362332
83IZ5N013	-92.04190673	36.08605421
83IZ5N014	-92.04190673	36.08605421
